Rotate,GeneticAvg,LPT,GeneticIter,GeneticMedian,FileName,Genetic,Optimum,mutIter,normIter,iterNum
14396,11961.7,11962,10,11962.0,instances/testing/m50n1000,11961,11941,100,1,100000
14396,11944.2,11962,10,11944.0,instances/testing/m50n1000,11944,11941,100,2,100000
14396,11945.6,11962,10,11945.5,instances/testing/m50n1000,11945,11941,100,4,100000
14396,11947.3,11962,10,11947.0,instances/testing/m50n1000,11946,11941,100,8,100000
14396,11948.6,11962,10,11948.0,instances/testing/m50n1000,11947,11941,100,16,100000
14396,11944.9,11962,10,11945.0,instances/testing/m50n1000,11944,11941,64,2,100000
14396,11943.9,11962,10,11944.0,instances/testing/m50n1000,11943,11941,128,2,100000
14396,11943.5,11962,10,11943.5,instances/testing/m50n1000,11943,11941,256,2,100000
14396,11943.1,11962,10,11943.0,instances/testing/m50n1000,11943,11941,512,2,100000
14396,11942.9,11962,10,11943.0,instances/testing/m50n1000,11942,11941,1024,2,100000
157510,153800.0,153800,10,153800.0,instances/testing/m10n3000,153800,153799,100,1,100000
157510,153799.0,153800,1,153799.0,instances/testing/m10n3000,153799,153799,100,2,100000
157510,153799.0,153800,1,153799.0,instances/testing/m10n3000,153799,153799,100,4,100000
157510,153799.0,153800,1,153799.0,instances/testing/m10n3000,153799,153799,100,8,100000
157510,153799.5,153800,2,153799.5,instances/testing/m10n3000,153799,153799,100,16,100000
157510,153799.0,153800,1,153799.0,instances/testing/m10n3000,153799,153799,64,2,100000
157510,153799.0,153800,1,153799.0,instances/testing/m10n3000,153799,153799,128,2,100000
157510,153799.0,153800,1,153799.0,instances/testing/m10n3000,153799,153799,256,2,100000
157510,153799.0,153800,1,153799.0,instances/testing/m10n3000,153799,153799,512,2,100000
157510,153799.0,153800,1,153799.0,instances/testing/m10n3000,153799,153799,1024,2,100000
106636,103165.0,103165,10,103165.0,instances/testing/m10n2000,103165,103164,100,1,100000
106636,103164.0,103165,1,103164.0,instances/testing/m10n2000,103164,103164,100,2,100000
106636,103164.0,103165,1,103164.0,instances/testing/m10n2000,103164,103164,100,4,100000
106636,103164.0,103165,1,103164.0,instances/testing/m10n2000,103164,103164,100,8,100000
106636,103164.0,103165,1,103164.0,instances/testing/m10n2000,103164,103164,100,16,100000
106636,103164.0,103165,1,103164.0,instances/testing/m10n2000,103164,103164,64,2,100000
106636,103164.0,103165,1,103164.0,instances/testing/m10n2000,103164,103164,128,2,100000
106636,103164.0,103165,1,103164.0,instances/testing/m10n2000,103164,103164,256,2,100000
106636,103164.0,103165,1,103164.0,instances/testing/m10n2000,103164,103164,512,2,100000
106636,103164.0,103165,1,103164.0,instances/testing/m10n2000,103164,103164,1024,2,100000
23561,19548.0,19548,10,19548.0,instances/testing/m30n1000,19548,19545,100,1,100000
23561,19546.0,19548,10,19546.0,instances/testing/m30n1000,19546,19545,100,2,100000
23561,19546.6,19548,10,19547.0,instances/testing/m30n1000,19546,19545,100,4,100000
23561,19546.9,19548,10,19547.0,instances/testing/m30n1000,19546,19545,100,8,100000
23561,19547.1,19548,10,19547.0,instances/testing/m30n1000,19547,19545,100,16,100000
23561,19546.1,19548,10,19546.0,instances/testing/m30n1000,19546,19545,64,2,100000
23561,19546.0,19548,10,19546.0,instances/testing/m30n1000,19546,19545,128,2,100000
23561,19546.0,19548,10,19546.0,instances/testing/m30n1000,19546,19545,256,2,100000
23561,19546.0,19548,10,19546.0,instances/testing/m30n1000,19546,19545,512,2,100000
23561,19546.0,19548,10,19546.0,instances/testing/m30n1000,19546,19545,1024,2,100000
43611,38321.0,38321,10,38321.0,instances/testing/m15n1000,38321,38316,100,1,100000
43611,38317.0,38321,10,38317.0,instances/testing/m15n1000,38317,38316,100,2,100000
43611,38317.2,38321,10,38317.0,instances/testing/m15n1000,38317,38316,100,4,100000
43611,38317.4,38321,10,38317.0,instances/testing/m15n1000,38317,38316,100,8,100000
43611,38317.9,38321,10,38318.0,instances/testing/m15n1000,38317,38316,100,16,100000
43611,38317.0,38321,10,38317.0,instances/testing/m15n1000,38317,38316,64,2,100000
